ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,boro_code_,shape_leng_left,shape_area,shape_leng_right,borough
10310,10310,B5,G6350,S,4651578,0,40.6326459,-74.1161482,5,325956.009,1623757283,325956.009,Staten Island
10312,10312,B5,G6350,S,19637318,359000,40.5444726,-74.1823669,5,325956.009,1623757283,325956.009,Staten Island
10314,10314,B5,G6350,S,35432499,1687746,40.5992625,-74.165748,5,325956.009,1623757283,325956.009,Staten Island
10451,10451,B5,G6350,S,2665303,9963,40.8204537,-73.9250659,2,462958.1876,1186612478,462958.1876,Bronx
10452,10452,B5,G6350,S,2559781,0,40.8373911,-73.9234379,2,462958.1876,1186612478,462958.1876,Bronx
10453,10453,B5,G6350,S,2372518,6524,40.8528201,-73.9123103,2,462958.1876,1186612478,462958.1876,Bronx
10454,10454,B5,G6350,S,2714423,0,40.805492,-73.9166041,2,462958.1876,1186612478,462958.1876,Bronx
10455,10455,B5,G6350,S,1846908,0,40.8147128,-73.9085897,2,462958.1876,1186612478,462958.1876,Bronx
10456,10456,B5,G6350,S,2635671,0,40.8298858,-73.9081213,2,462958.1876,1186612478,462958.1876,Bronx
10457,10457,B5,G6350,S,2743123,0,40.8471621,-73.8986628,2,462958.1876,1186612478,462958.1876,Bronx
10458,10458,B5,G6350,S,2603707,0,40.8625289,-73.8881594,2,462958.1876,1186612478,462958.1876,Bronx
10459,10459,B5,G6350,S,2124313,0,40.8258556,-73.8929413,2,462958.1876,1186612478,462958.1876,Bronx
10460,10460,B5,G6350,S,3399050,0,40.8417362,-73.8795975,2,462958.1876,1186612478,462958.1876,Bronx
10461,10461,B5,G6350,S,6201816,0,40.8473944,-73.8405832,2,462958.1876,1186612478,462958.1876,Bronx
10462,10462,B5,G6350,S,3818110,15353,40.8432666,-73.860417,2,462958.1876,1186612478,462958.1876,Bronx
10463,10463,B5,G6350,S,3755855,345779,40.8806784,-73.9065404,2,462958.1876,1186612478,462958.1876,Bronx
10464,10464,B5,G6350,S,8993192,237116,40.8695935,-73.7958478,2,462958.1876,1186612478,462958.1876,Bronx
10465,10465,B5,G6350,S,8799203,2711,40.8240184,-73.8234687,2,462958.1876,1186612478,462958.1876,Bronx
10466,10466,B5,G6350,S,5215221,5147,40.8909641,-73.8462394,2,462958.1876,1186612478,462958.1876,Bronx
10467,10467,B5,G6350,S,6049162,0,40.8699533,-73.8657645,2,462958.1876,1186612478,462958.1876,Bronx
